pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Vitamin B9 (folate) metabolism	4	5	0.0010923451810772205	E758,E932,E622,E385	C00504,C00921,C01045/C01042,C00217/C00025/C00302/C05938	Folate$Dihydropteroate; 7,8-Dihydropteroate$N-Formyl-L-glutamate/N-Acetyl-L-aspartate$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate/L-4-Hydroxyglutamate semialdehyde
Carnitine shuttle	5	13	0.01411646080161331	E1292,E1047,E1462,E1463,E1390	C02990,tmndnccrn,hdd2crn/hdcecrn,elaidcrn/vacccrn/odecrn,ttdcrn	L-Palmitoylcarnitine$Timnodonyl carnitine$trans-Hexadec-2-enoyl carnitine/Hexadecenoyl carnitine$Elaidic carnitine/Vaccenyl carnitine/octadecenoyl carnitine$tetradecanoyl carnitine
Ascorbate (Vitamin C) and Aldarate Metabolism	4	9	0.01537685908747164	E291,E1414,E884,E450	C01620/C00262,C00725/C04593/C02225,C00127,C00051	/Hypoxanthine$Lipoate; Lipoic acid; alpha-Lipoic acid; Thioctic acid/(2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate; Methylisocitrate; Methylisocitric acid/2-Methylcitrate; 2-Hydroxybutane-1,2,3-tricarboxylate; (2R,3S)-2-Hydroxybutane-1,2,3-tricarboxylate$Oxidized glutathione$Reduced glutathione
Methionine and cysteine metabolism	10	40	0.023947567431308294	E796,E763,E884,E1130,E765,E912,E951,E450,E385,E314	C00491,C02291/C00542,C00127,C02712,C02291/C00542,C00170,C00020/C00362,C00051,C00217/C00025/C00302/C05938,C05844	L-Cystine; L-Dicysteine; L-alpha-Diamino-beta-dithiolactic acid$L-Cystathionine/Cystathionine$Oxidized glutathione$N-Acetylmethionine$L-Cystathionine/Cystathionine$5-Methylthioadenosine$AMP/dGMP$Reduced glutathione$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate/L-4-Hydroxyglutamate semialdehyde$5-L-Glutamyl-taurine
Glycosphingolipid metabolism	6	20	0.02806486849844551	E907,E753,E636,E872,E1439,E863	C00128,C01074/C01132/C00645/C00140,C00031/C00221/C00247/C02336/C00267/C00738/C00936/C00095/C00962/C01582/C00795/C00137/C00293/C00124/C00984/C00159,C00836,C12144,C02934/C00319	CMP-N-acetylneuraminate$N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-galactosamine/N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetyl-D-glucosamine$D-Glucose/beta-D-Glucose/L-Sorbose; L-xylo-Hexulose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/D-Hexose//D-Fructose/beta-D-Galactose/Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/Glucose/D-Galactose/alpha-D-Galactose/D-Mannose$Sphinganine$Phytosphingosine; 4-D-Hydroxysphinganine$3-Dehydrosphinganine/Sphingosine
Drug metabolism - cytochrome P450	4	11	0.030165532308209394	E1262,E81,E186,E947	C07030,C16595/C16587,C16582/C16584,C16548	$4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one/3-Carbamoyl-2-phenylpropionaldehyde$2-Hydroxyfelbamate/p-Hydroxyfelbamate$N,N-Didesmethyltamoxifen
Galactose metabolism	5	16	0.03251827577514495	E1400,E753,E636,E108,E1389	C02052/C01613,C01074/C01132/C00645/C00140,C00031/C00221/C00247/C02336/C00267/C00738/C00936/C00095/C00962/C01582/C00795/C00137/C00293/C00124/C00984/C00159,C00577/C00256/C01013/C00186/C00184,C00718/C05796	Maltotetraose/Stachyose$N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-galactosamine/N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetyl-D-glucosamine$D-Glucose/beta-D-Glucose/L-Sorbose; L-xylo-Hexulose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/D-Hexose//D-Fructose/beta-D-Galactose/Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/Glucose/D-Galactose/alpha-D-Galactose/D-Mannose$D-Glyceraldehyde/D-Lactate/3-Hydroxypropanoate; 3-Hydroxypropanoic acid; 3-Hydroxypropionate; 3-Hydroxypropionic acid; Hydracrylic acid/L-Lactate/Dihydroxyacetone$Amylose; Amylose chain; (1,4-alpha-D-Glucosyl)n; (1,4-alpha-D-Glucosyl)n+1; (1,4-alpha-D-Glucosyl)n-1; 4-{(1,4)-alpha-D-Glucosyl}(n-1)-D-glucose; 1,4-alpha-D-Glucan/Galactan
Alanine and Aspartate Metabolism	5	16	0.03251827577514495	E622,E610,E951,E385,E605	C01045/C01042,C00062/C00792,C00020/C00362,C00217/C00025/C00302/C05938,C00327	N-Formyl-L-glutamate/N-Acetyl-L-aspartate$L-Arginine/D-Arginine; D-2-Amino-5-guanidinovaleric acid$AMP/dGMP$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate/L-4-Hydroxyglutamate semialdehyde$L-Citrulline; 2-Amino-5-ureidovaleric acid; Citrulline
Glycosphingolipid biosynthesis - globoseries	3	7	0.03327451474665995	E753,E907,E636	C01074/C01132/C00645/C00140,C00128,C00031/C00221/C00247/C02336/C00267/C00738/C00936/C00095/C00962/C01582/C00795/C00137/C00293/C00124/C00984/C00159	N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-galactosamine/N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetyl-D-glucosamine$CMP-N-acetylneuraminate$D-Glucose/beta-D-Glucose/L-Sorbose; L-xylo-Hexulose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/D-Hexose//D-Fructose/beta-D-Galactose/Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/Glucose/D-Galactose/alpha-D-Galactose/D-Mannose
Propanoate metabolism	3	7	0.03327451474665995	E1414,E108,E951	C00725/C04593/C02225,C00577/C00256/C01013/C00186/C00184,C00020/C00362	Lipoate; Lipoic acid; alpha-Lipoic acid; Thioctic acid/(2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate; Methylisocitrate; Methylisocitric acid/2-Methylcitrate; 2-Hydroxybutane-1,2,3-tricarboxylate; (2R,3S)-2-Hydroxybutane-1,2,3-tricarboxylate$D-Glyceraldehyde/D-Lactate/3-Hydroxypropanoate; 3-Hydroxypropanoic acid; 3-Hydroxypropionate; 3-Hydroxypropionic acid; Hydracrylic acid/L-Lactate/Dihydroxyacetone$AMP/dGMP
