input_row	EID	str_row_ion	compounds	compound_names	input_row	m/z	retention_time	p_value	statistic	CompoundID_from_user
row1	E1	row1_M+H[1+]	C06144	3-Butynoate	row1	85.0278	59.0	0.00265721703609	-3.55	AE_pos_85.0278_59
row2	E6	row2_M+2H[2+];row6809_M+H[1+]	C06459	N-Trimethyl-2-aminoethylphosphonate; 2-Trimethylaminoethylphosphonate	row2	85.0472	124.0	0.730810186297	-0.35	AE_pos_85.0472_124
row12	E19	row12_M+H[1+]	C02218	2-Aminoacrylate; Dehydroalanine	row12	88.0387	85.0	0.00363104045441	-3.4	AE_pos_88.0387_85
row14	E29	row14_M+H[1+]	C00555	4-Aminobutanal; 4-Aminobutyraldehyde; Butyraldehyde, 4-amino-	row14	88.0751	102.0	0.129139178551	-1.6	AE_pos_88.0751_102
row22	E34	row22_M+H[1+]	C00213;C00041;C00099;C00133	Sarcosine; N-Methylglycine$L-Alanine$beta-Alanine$D-Alanine	row22	90.0544	514.0	0.822436696332	0.23	AE_pos_90.0544_514
row34	E42	row34_M(C13)+2H[2+];row6821_M+H[1+]	C13747;C07480	1,7-Dimethylxanthine; Paraxanthine$	row34	91.542	38.0	0.00103352682731	4.0	AE_pos_91.542_38
row37	E48	row37_M+H[1+]	C00292	Aniline; Phenylamine; Benzenamine; Arylamine	row37	94.0646	215.0	0.762123505279	-0.31	AE_pos_94.0646_215
row47	E51	row47_M+Na[1+]	CE2011	hypothiocyanite	row47	96.9588	38.0	0.703726074501	0.39	AE_pos_96.9588_38
row48	E52	row48_M+Na[1+]	CE2011	hypothiocyanite	row48	96.9601	541.0	0.249557713427	-1.19	AE_pos_96.9601_541
row48	E53	row48_M+H[1+]	C14039	1,1-Dichloroethylene; Vinylidene chloride	row48	96.9601	541.0	0.249557713427	-1.19	AE_pos_96.9601_541
row66	E56	row1179_M+Na[1+];row66_M+H+Na[2+]	C02734	Phenolic phosphate; Phenylphosphate	row66	99.0017	527.0	0.152676556253	-1.5	AE_pos_99.0017_527
row98	E65	row98_M+H[1+]	C12455	5-Aminopentanal	row98	102.0908	50.0	2.94496386463e-07	-8.4	AE_pos_102.0908_50
