pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Vitamin B9 (folate) metabolism	4	5	0.0003360779700890607	E385,E622,E758,E932	C00217/C00025/C00302/C05938,C01045/C01042,C00504,C00921	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate/L-4-Hydroxyglutamate semialdehyde$N-Formyl-L-glutamate/N-Acetyl-L-aspartate$Folate$Dihydropteroate; 7,8-Dihydropteroate
Carnitine shuttle	5	13	0.009242144177449169	E1047,E1390,E1292,E1462,E1463	tmndnccrn,ttdcrn,C02990,hdd2crn/hdcecrn,elaidcrn/vacccrn/odecrn	Timnodonyl carnitine$tetradecanoyl carnitine$L-Palmitoylcarnitine$trans-Hexadec-2-enoyl carnitine/Hexadecenoyl carnitine$Elaidic carnitine/Vaccenyl carnitine/octadecenoyl carnitine
Ascorbate (Vitamin C) and Aldarate Metabolism	4	9	0.01008233910267182	E884,E1414,E450,E291	C00127,C00725/C04593/C02225,C00051,C01620/C00262	Oxidized glutathione$Lipoate; Lipoic acid; alpha-Lipoic acid; Thioctic acid/(2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate; Methylisocitrate; Methylisocitric acid/2-Methylcitrate; 2-Hydroxybutane-1,2,3-tricarboxylate; (2R,3S)-2-Hydroxybutane-1,2,3-tricarboxylate$Reduced glutathione$/Hypoxanthine
Methionine and cysteine metabolism	10	40	0.016299781549319443	E884,E765,E912,E951,E450,E385,E314,E796,E763,E1130	C00127,C02291/C00542,C00170,C00020/C00362,C00051,C00217/C00025/C00302/C05938,C05844,C00491,C02291/C00542,C02712	Oxidized glutathione$L-Cystathionine/Cystathionine$5-Methylthioadenosine$AMP/dGMP$Reduced glutathione$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate/L-4-Hydroxyglutamate semialdehyde$5-L-Glutamyl-taurine$L-Cystine; L-Dicysteine; L-alpha-Diamino-beta-dithiolactic acid$L-Cystathionine/Cystathionine$N-Acetylmethionine
Glycosphingolipid metabolism	6	20	0.01949252226516552	E1439,E636,E872,E863,E907,E753	C12144,C00031/C00221/C00247/C02336/C00267/C00738/C00936/C00095/C00962/C01582/C00795/C00137/C00293/C00124/C00984/C00159,C00836,C02934/C00319,C00128,C01074/C01132/C00645/C00140	Phytosphingosine; 4-D-Hydroxysphinganine$D-Glucose/beta-D-Glucose/L-Sorbose; L-xylo-Hexulose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/D-Hexose//D-Fructose/beta-D-Galactose/Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/Glucose/D-Galactose/alpha-D-Galactose/D-Mannose$Sphinganine$3-Dehydrosphinganine/Sphingosine$CMP-N-acetylneuraminate$N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-galactosamine/N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetyl-D-glucosamine
Drug metabolism - cytochrome P450	4	11	0.023525457906234247	E947,E1262,E186,E81	C16548,C07030,C16582/C16584,C16595/C16587	N,N-Didesmethyltamoxifen$$2-Hydroxyfelbamate/p-Hydroxyfelbamate$4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one/3-Carbamoyl-2-phenylpropionaldehyde
Galactose metabolism	5	16	0.02520584775667955	E1389,E636,E108,E1400,E753	C00718/C05796,C00031/C00221/C00247/C02336/C00267/C00738/C00936/C00095/C00962/C01582/C00795/C00137/C00293/C00124/C00984/C00159,C00577/C00256/C01013/C00186/C00184,C02052/C01613,C01074/C01132/C00645/C00140	Amylose; Amylose chain; (1,4-alpha-D-Glucosyl)n; (1,4-alpha-D-Glucosyl)n+1; (1,4-alpha-D-Glucosyl)n-1; 4-{(1,4)-alpha-D-Glucosyl}(n-1)-D-glucose; 1,4-alpha-D-Glucan/Galactan$D-Glucose/beta-D-Glucose/L-Sorbose; L-xylo-Hexulose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/D-Hexose//D-Fructose/beta-D-Galactose/Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/Glucose/D-Galactose/alpha-D-Galactose/D-Mannose$D-Glyceraldehyde/D-Lactate/3-Hydroxypropanoate; 3-Hydroxypropanoic acid; 3-Hydroxypropionate; 3-Hydroxypropionic acid; Hydracrylic acid/L-Lactate/Dihydroxyacetone$Maltotetraose/Stachyose$N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-galactosamine/N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetyl-D-glucosamine
Alanine and Aspartate Metabolism	5	16	0.02520584775667955	E610,E951,E385,E605,E622	C00062/C00792,C00020/C00362,C00217/C00025/C00302/C05938,C00327,C01045/C01042	L-Arginine/D-Arginine; D-2-Amino-5-guanidinovaleric acid$AMP/dGMP$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate/L-4-Hydroxyglutamate semialdehyde$L-Citrulline; 2-Amino-5-ureidovaleric acid; Citrulline$N-Formyl-L-glutamate/N-Acetyl-L-aspartate
Glycosphingolipid biosynthesis - globoseries	3	7	0.025878003696857672	E636,E753,E907	C00031/C00221/C00247/C02336/C00267/C00738/C00936/C00095/C00962/C01582/C00795/C00137/C00293/C00124/C00984/C00159,C01074/C01132/C00645/C00140,C00128	D-Glucose/beta-D-Glucose/L-Sorbose; L-xylo-Hexulose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/D-Hexose//D-Fructose/beta-D-Galactose/Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/Glucose/D-Galactose/alpha-D-Galactose/D-Mannose$N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-galactosamine/N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetyl-D-glucosamine$CMP-N-acetylneuraminate
Propanoate metabolism	3	7	0.025878003696857672	E951,E1414,E108	C00020/C00362,C00725/C04593/C02225,C00577/C00256/C01013/C00186/C00184	AMP/dGMP$Lipoate; Lipoic acid; alpha-Lipoic acid; Thioctic acid/(2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate; Methylisocitrate; Methylisocitric acid/2-Methylcitrate; 2-Hydroxybutane-1,2,3-tricarboxylate; (2R,3S)-2-Hydroxybutane-1,2,3-tricarboxylate$D-Glyceraldehyde/D-Lactate/3-Hydroxypropanoate; 3-Hydroxypropanoic acid; 3-Hydroxypropionate; 3-Hydroxypropionic acid; Hydracrylic acid/L-Lactate/Dihydroxyacetone
